2020-01-07	2
2020-01-21	1
2020-01-22	1
2020-01-30	1
2020-01-31	2
2020-02-04	2
2020-02-06	1
2020-02-14	1
2020-02-15	1
2020-02-25	2
2020-02-27	1
2020-02-28	1
2020-02-29	1
2020-03-01	1
2020-03-02	3
2020-03-04	2
2020-03-05	1
2020-03-06	3
2020-03-08	1
2020-03-09	3
2020-03-10	2
2020-03-11	2
2020-03-13	9
2020-03-14	3
2020-03-15	2
2020-03-16	5
2020-03-17	7
2020-03-18	8
2020-03-19	2
2020-03-20	10
2020-03-21	2
2020-03-22	4
2020-03-23	6
2020-03-24	8
2020-03-25	7
2020-03-26	3
2020-03-27	4
2020-03-28	4
2020-03-29	2
2020-03-30	5
2020-03-31	1
2020-04-01	1
2020-04-02	4
2020-04-03	9
2020-04-06	2
2020-04-07	1
2020-04-08	8
2020-04-09	5
2020-04-10	7
2020-04-11	1
2020-04-12	1
2020-04-13	4
2020-04-14	1
2020-04-15	3
2020-04-16	4
2020-04-17	3
2020-04-19	1
2020-04-20	3
2020-04-22	4
2020-04-23	5
2020-04-24	1
2020-04-26	-1
2020-04-27	2
2020-04-28	1
2020-04-29	3
2020-04-30	5
2020-05-01	5
2020-05-04	1
2020-05-05	2
2020-05-06	1
2020-05-07	3
2020-05-09	1
2020-05-11	1
2020-05-13	2
2020-05-14	2
2020-05-15	1
2020-05-16	1
2020-05-18	2
2020-05-19	4
2020-05-20	2
2020-05-22	5
2020-05-27	1
2020-05-28	1
2020-06-01	6
2020-06-02	2
2020-06-04	3
2020-06-09	2
2020-06-10	1
2020-06-11	10
2020-06-12	6
2020-06-13	1
2020-06-15	1
2020-06-16	1
2020-06-17	2
2020-06-18	2
2020-06-20	1
2020-06-22	2
2020-06-23	5
2020-06-24	1
2020-06-25	1
2020-06-26	2
2020-06-27	1
2020-06-28	1
2020-06-29	1
2020-06-30	2
2020-07-14	-1
2020-07-16	1
2020-07-20	-2
2020-07-30	1
2020-08-03	1
2020-08-13	1
2020-08-16	1
2020-08-17	1
2020-08-18	1
2020-08-19	1
2020-08-20	3
2020-08-22	1
2020-08-24	1
2020-08-25	2
2020-08-26	1
2020-08-27	3
2020-08-28	-1
2020-08-31	2
2020-09-02	1
2020-09-09	2
2020-09-10	2
2020-09-11	2
2020-09-15	1
2020-09-16	2
2020-09-17	1
2020-09-18	2
2020-09-22	2
2020-09-23	4
2020-09-24	1
2020-09-30	2
2020-10-01	2
2020-10-05	2
2020-10-06	2
2020-10-07	1
2020-10-08	5
2020-10-09	4
2020-10-13	2
2020-10-14	1
2020-10-15	1
2020-10-16	3
2020-10-18	2
2020-10-19	2
2020-10-21	4
2020-10-22	4
2020-10-23	1
2020-10-27	1
2020-10-28	2
2020-10-29	3
2020-10-30	5
2020-10-31	3
2020-11-02	1
2020-11-03	0
2020-11-04	1
2020-11-05	1
2020-11-06	3
2020-11-08	1
