-0.0068,0.0207,0.2474,0.0153
0.0112,0.0119,-2.7512,0.0216
0.0004,0.0132,0.1777,0.0248
0.0019,0.0116,29.6249,0.0220
0.0020,0.0068,2.5686,0.0061
-0.0041,0.0078,2.8493,0.0222
-0.0029,0.0090,-3.1812,0.0075
-0.0086,0.0077,-3.6616,0.0131
-0.0011,0.0124,-2.4409,0.0092
-0.0036,0.0089,-8.8805,0.0120
0.0019,0.0072,-3.0268,0.0236
-0.0114,0.0081,3.2845,0.0101
0.0018,0.0156,-2.3649,0.0140
-0.0117,0.0097,4.3723,0.0135
0.0082,0.0164,-2.4018,0.0094
-0.0024,0.0178,1.1778,0.0144
-0.0021,0.0100,-5.2024,0.0070
-0.0048,0.0162,-8.8671,0.0056
0.0039,0.0095,-2.9915,0.0123
0.0117,0.0089,1.3030,0.0226
0.0096,0.0138,0.1744,0.0126
0.0097,0.0105,0.0975,0.0136
-0.0093,0.0151,0.5528,0.0106
-0.0126,0.0131,-2.4075,0.0159
0.0057,0.0238,-2.8803,0.0091
-0.0075,0.0146,1.5743,0.0083
-0.0131,0.0163,-3.1674,0.0242
0.0002,0.0133,-2.0209,0.0215
-0.0007,0.0081,34.6728,0.0273
-0.0047,0.0122,-19.5040,0.0150
0.0040,0.0090,-2.9133,0.0172
0.0059,0.0082,1.0270,0.0208
-0.0023,0.0106,0.7967,0.0138
0.0013,0.0079,-4.4458,0.0130
0.0071,0.0070,4.6336,0.0089
-0.0061,0.0082,0.1549,0.0117
0.0066,0.0088,-2.4413,0.0174
-0.0073,0.0106,0.6070,0.0282
0.0027,0.0114,-2.5640,0.0172
-0.0026,0.0047,0.7911,0.0150
0.0376,0.0045,-2.7369,0.0375
-0.0070,0.0394,0.0472,0.0386
-0.0145,0.0188,-3.6974,0.0149
0.0032,0.0231,-2.6001,0.0095
0.0123,0.0114,2.6011,0.0061
0.0056,0.0181,0.4715,0.0071
0.0231,0.0116,1.0726,0.0095
0.0012,0.0235,0.0189,0.0107
-0.0032,0.0115,8.2585,0.0053
-0.0046,0.0129,-5.0461,0.0055
-0.0117,0.0115,-3.4909,0.0061
0.0000,0.0141,-2.2130,0.0107
-0.0087,0.0091,-1,719.2768,0.0088
-0.0055,0.0151,-2.7372,0.0074
-0.0027,0.0127,-3.3236,0.0025
-0.0112,0.0104,-4.8752,0.0050
0.0145,0.0156,-2.3883,0.0071
-0.0046,0.0184,0.2693,0.0097
-0.0003,0.0101,-3.2202,0.0162
-0.0157,0.0091,-33.4887,0.0083
0.0046,0.0251,-2.5994,0.0071
0.0069,0.0141,2.0768,0.0099
-0.0032,0.0153,1.2031,0.0040
0.0068,0.0106,-4.2883,0.0062
-0.0208,0.0120,0.7555,0.0055
-0.0032,0.0261,-2.2503,0.0159
0.0097,0.0240,-8.5390,0.0145
-0.0150,0.0219,1.2451,0.0116
0.0045,0.0188,-2.2526,0.0085
0.0183,0.0154,2.4202,0.0084
0.0235,0.0296,0.6205,0.0085
0.0000,0.0243,0.0356,0.0175
-0.0015,0.0232,-501.2349,0.0081
0.0023,0.0115,-8.8001,0.0090
-0.0097,0.0132,4.7949,0.0135
0.0144,0.0154,-2.5930,0.0086
0.0011,0.0197,0.3690,0.0068
-0.0092,0.0111,8.9094,0.0116
-0.0216,0.0227,-3.4707,0.0233
0.0031,0.0264,-2.2246,0.0268
-0.0265,0.0256,7.4010,0.0161
