2020-01-21,1,0
2020-01-22,1,0
2020-01-23,1,0
2020-01-24,2,0
2020-01-25,3,0
2020-01-26,5,0
2020-01-27,5,0
2020-01-28,5,0
2020-01-29,5,0
2020-01-30,6,0
2020-01-31,7,0
2020-02-01,8,0
2020-02-02,11,0
2020-02-03,11,0
2020-02-04,11,0
2020-02-05,12,0
2020-02-06,12,0
2020-02-07,12,0
2020-02-08,12,0
2020-02-09,12,0
2020-02-10,13,0
2020-02-11,13,0
2020-02-12,14,0
2020-02-13,15,0
2020-02-14,15,0
2020-02-15,15,0
2020-02-16,15,0
2020-02-17,25,0
2020-02-18,25,0
2020-02-19,25,0
2020-02-20,27,0
2020-02-21,30,0
2020-02-22,30,0
2020-02-23,30,0
2020-02-24,43,0
2020-02-25,45,0
2020-02-26,60,0
2020-02-27,60,0
2020-02-28,65,0
2020-02-29,70,1
2020-03-01,88,3
2020-03-02,104,6
2020-03-03,125,10
2020-03-04,161,12
2020-03-05,228,12
2020-03-06,311,15
2020-03-07,428,19
2020-03-08,547,22
2020-03-09,748,26
2020-03-10,1018,31
2020-03-11,1263,37
2020-03-12,1668,43
2020-03-13,2224,50
2020-03-14,2898,60
2020-03-15,3600,68
2020-03-16,4507,91
2020-03-17,5906,117
2020-03-18,8350,162
2020-03-19,12393,212
2020-03-20,18012,277
2020-03-21,24528,360
2020-03-22,33073,458
2020-03-23,43505,579
2020-03-24,53938,785
2020-03-25,68572,1054
2020-03-26,85570,1353
2020-03-27,102900,1765
2020-03-28,123966,2292
2020-03-29,142486,2707
2020-03-30,163955,3354
2020-03-31,188461,4289
2020-04-01,215391,5325
2020-04-02,245108,6541
2020-04-03,277426,7932
2020-04-04,312525,9488
2020-04-05,338141,10856
2020-04-06,369057,12382
2020-04-07,399394,14616
2020-04-08,431214,16701
2020-04-09,465913,18821
2020-04-10,499386,21084
2020-04-11,531106,23168
2020-04-12,558249,24849
2020-04-13,584018,26613
2020-04-14,610709,29318
2020-04-15,640742,32070
2020-04-16,672355,34418
2020-04-17,703864,36707
2020-04-18,732262,38659
2020-04-19,757596,40179
2020-04-20,784991,42016
2020-04-21,810505,44688
2020-04-22,839336,47059
2020-04-23,873112,49228
2020-04-24,909853,51360
2020-04-25,944261,53326
2020-04-26,970996,54580
2020-04-27,994193,56022
2020-04-28,1018846,58416
2020-04-29,1045401,60930
2020-04-30,1075758,63140
2020-05-01,1109728,64902
2020-05-02,1139202,66485
2020-05-03,1165342,67816
2020-05-04,1187304,68905
2020-05-05,1211011,71139
2020-05-06,1235519,73847
2020-05-07,1263995,75805
2020-05-08,1291643,77380
2020-05-09,1316511,78726
2020-05-10,1336828,79654
2020-05-11,1354449,80634
2020-05-12,1376749,82286
2020-05-13,1397894,84053
2020-05-14,1424856,85789
2020-05-15,1451093,87377
2020-05-16,1474752,88602
2020-05-17,1493766,89445
2020-05-18,1515593,90284
2020-05-19,1536570,91804
2020-05-20,1559640,93286
2020-05-21,1585373,94596
2020-05-22,1609172,95884
2020-05-23,1631440,96933
2020-05-24,1651471,97553
2020-05-25,1670571,98061
2020-05-26,1689467,98808
2020-05-27,1708211,100293
2020-05-28,1730723,101491
2020-05-29,1755271,102680
2020-05-30,1778668,103642
2020-05-31,1799302,104243
2020-06-01,1821199,104977
2020-06-02,1841990,106057
2020-06-03,1861977,107044
2020-06-04,1883593,108052
2020-06-05,1912302,109163
2020-06-06,1934818,109890
2020-06-07,1953434,110280
2020-06-08,1971641,111002
2020-06-09,1990446,112032
2020-06-10,2013298,112960
2020-06-11,2036500,113836
